,title
127,Republicans join push to lift secrecy around misconduct in Congress
128,"Trump officials brief Hill staff on Saudi reactors, enrichment a worry"
129,U.S. judge to lift house arrest for former Trump campaign manager Manafort
130,Republican Senator Corker says he will support tax bill
131,Rubio signals support for tax bill after child tax credit tweaks
132,U.S. tax negotiators raising refundable portion of child tax credit:
133,Republicans have finalized compromise U.S. tax bill -chief House tax writer
134,"Republican Senator Rubio will back tax bill: CNBC, citing sources"
135,Exclusive: Senator Cruz wants to cap renewable fuel credits at 10 cents - document
136,Trump administration issues new rules on U.S. visa waivers
137,Trump urges Moore to concede Alabama Senate race
138,Net neutrality repeal gives Democrats fresh way to reach millennials
139,"As Republican tax vote nears, more senators waver"
140,"   - Stock market, federal regulations"
141,House committee questions head of Trump campaign data firm:
142,Republican governors meet with Pence over NAFTA concerns
143, Provisions of the U.S. Republicans' final tax bill
144,House Speaker Ryan mulls retirement after 2018 elections:
145,Republican Representative Farenthold will not seek re-election
146,Alabama Senate race winner urges Republican rival to 'move on'
147,Fund managers seek stocks benefiting from Democratic gains in 2018 U.S. elections
148, Republicans to keep an eye on as Senate nears vote on tax bill
149,Republican Speaker Ryan told Trump retirement report was rumors were not true: House
150,White House says will work with Rubio on child tax credit
151,"Republican Senator Lee undecided on tax bill, seeks child credit changes:"
152,"U.S. tax bill to preserve key renewable energy credits, sources say"
153,U.S. bill to allow property and income or sales tax deductions:
154,Senator McCain will vote on tax bill -No. 2 Republican
155,Nominee for U.S. EPA chemical safety withdraws:
156,"Senators Burr, Tillis oppose Trump's EPA nominee Dourson:"
157,Pence delays Middle East trip in case needed for U.S. tax vote
158,Kentucky lawmaker a 'probable suicide' amid sexual misconduct accusations
159,"Mulvaney says U.S. tax bill votes could be Tuesday, Wednesday:"
160,"Donald Trump Jr. wants 'leak' probe, as Congress' Russia probes press on"
161,Do not expect postcard-sized tax return from Republican plan:
162,"Republicans forge tax deal, final votes seen next week"
163,Alabama win thrills Democrats as Republicans point fingers
164,Trump's eldest son testifies to Senate committee in Russia probe
165,What is in the Republicans' final tax bill
166, What is in the U.S. Republicans' final tax bill
167,Minnesota lieutenant governor to replace Franken in Senate
168,Stop-gap bill unveiled to fund U.S. government until Jan. 19
169,Senior justice official dismisses Republican charges of bias in Trump probe
170,Senator McCain treated for side effects of cancer therapy
171,Trump 'dossier' firm: Republicans leaked bank records in retaliation
172,Two Trump judicial nominations rebuffed by Senate
173,U.S. prepares to open doors on billion-dollar London embassy
174,"In elaborate hoax, websites say NFL Redskins renamed as Redhawks"
175,"After Alabama upset, Democrats see new prospects in U.S. South"
176,Schumer: delay tax overhaul vote until new Alabama senator seated
177,Republican Senator Corker says he is still undecided on tax bill
178,Control of Virginia state House at stake as recounts begin
179,Trump says he would accept 21 percent corporate tax rate
180,House and Senate reach deal on U.S. tax legislation:
181,U.S. House to stop using public funds for harassment settlements:
182,U.S. House and Senate leaders reach agreement 'in principle' on tax plan:
183,White House aide Omarosa Manigault Newman resigns
184,Analyst View: Democrat Jones wins Alabama U.S. Senate seat in blow to Trump
185,Top U.S. Senate Democrat hopeful Congress will help 'Dreamers' by year end
186,Senator Gillibrand calls Trump Twitter post 'sexist smear'
187,Trump loses his big bet on Alabama U.S. Senate race
188,FBI officials said Clinton 'has to win' race to White House:
189,Trump congratulates Democrat for Alabama U.S. Senate victory in tweet
190,"Prayer, principle guide women voters in Roy Moore's Alabama hometown"
191,Democrat wins U.S. Senate seat in Alabama in setback for Trump
192,"   - Democrats, Kirsten Gillibrand, Chuck Schumer"
193,Crucial details of Republican tax plan in flux as deal deadline looms
194,Tillerson seeks to ease skepticism about U.S. State Department reorganization
195,"Trump to meet House, Senate tax cut negotiators Wednesday:"
196,"Republicans propose to delay, pause Obamacare taxes"
197,Trump signs into law U.S. government ban on Kaspersky Lab software
198,Senator Grassley expresses reservations on two Trump judge nominees
199,U.S. judge orders special counsel to turn over evidence on Michael Flynn
200,"U.S. Congress to let Iran deadline pass, leave decision to Trump"
201,Senators say effort to protect 'Dreamers' making progress
202,Trump's attack on Gillibrand 'nasty': Senator
203,House Speaker Ryan says he believes upbeat Treasury tax study
204,Senate leader says he's confident of deal to keep government open after Dec. 22
205,White House to host fresh biofuels talks to help refiners:
206,Trump will announce new U.S. security strategy on Monday:
207,"Trump signs defense policy bill, urges U.S. Congress to fund it"
208,"Trump's push to cut federal jobs has modest impact, mostly in defense"
209,Cuba tells U.S. suspension of visas is hurting families
210,Republican Moore embraces Trump message on eve of Alabama election
211,Women accusing Trump of sexual misconduct seek congressional probe
212,U.S. House Democratic women seek probe of Trump misconduct accusations
213,Judge tells ex-Trump adviser Manafort to stop communicating with media
214,"U.S. military must accept transgender recruits by Jan. 1, judge rules"
215,Nuclear plan backer denies Inauguration Day text with top Trump aide
216,U.S. Treasury tax study slammed as 'fake math' by Democrats
217,U.S. Treasury adds cash management measures due to debt limit
218, Women who have accused Trump of inappropriate conduct
219,Nearly half of Americans still oppose Republican tax bill:
220,Justice Department reviewing options after ruling on transgender recruits:
221,"Haley: Women accusers should be heard, even if Trump is target"
222,"Exclusive: Contenders emerge for No.2 Fed job, search to narrow"
223,Trump to give speech on U.S. tax overhaul on Wednesday:
224,Powell faces early test of policy view as tax cuts near approval
225,Roy Moore campaign casts Alabama race as referendum on Trump
226,Democrats eye gains in Pennsylvania trial on 'goofy' gerrymandering
227,Trump urges Alabama voters to back Roy Moore
228,Senator Collins says undecided on final tax bill vote
229,Trump attends civil rights museum opening; black leaders stay away
230,Ukrainian author of Manafort op-ed says sought input to avoid errors
231,Special Counsel Mueller filing shows Manafort drafted Ukraine op-ed despite gag order
232,"Trump lifts refugee ban, but admissions still plummet, data shows"
233,"  - Hanukkah, Roy Moore, Wells Fargo"
234,U.S. lawyer defending travel ban grilled in court over Trump's tweets
235,U.S. House committee 'may reconsider' WHO cancer agency funds
236,Trump senior aide Dina Powell to resign early next year:
237,Special Counsel Mueller produces evidence that Manafort drafted op-ed
238,U.S. top court takes up Republican challenge to Maryland electoral district
239,White House pressures Big Corn to meet on U.S. biofuels policy
240,Former Trump adviser interviewed in Congress in Russia probe
241,Farenthold should resign if misconduct accusations true: senior House Republican
242,Congressman Franks says resigning immediately
243,U.S. tax revamp still incomplete as Republicans eye social program cuts
244,Special election to replace Conyers to be held Nov. 2018:
245,Trump signs temporary spending bill as budget talks intensify
246,U.S. tax repatriation plan may not cure long-term dollar weakness
247,Aide tries to refocus tax debate after Trump's corporate rate remark
248,Franken and Franks resign as misconduct charges batter Congress
249,Rep. Franks to resign after staff members' complaints of harassment
250,Aide tries to refocus U.S. tax debate after Trump's corporate rate remark
251,"Millions would lose mortgage, gift write-offs under U.S. tax bill:"
252,Blackwater founder Prince details meeting with Russian in Seychelles
253,Congress averts government shutdown for now
254,Civil rights pioneer to eschew museum opening after Trump says will attend
255,Judge presiding over Michael Flynn criminal case is recused:
256,House ethics panel probing Rep. Farenthold over harassment allegations
257,   - Pearl Harbor Remembrance Day
258,House Intelligence chairman cleared of disclosing classified information
259,"Paul Manafort, Special Counsel Mueller tussle over Ukrainian op-ed"
260,"Congress passes bill to temporarily fund government, avert shutdown"
261,"Trump open to biofuel policy reform, senators say after meeting"
262,House approves stop-gap government funding bill
263,Manafort's work on draft op-ed does not violate gag order:
264,"Exclusive: White House doesn't foresee shutdown, Trump wants 20 percent corporate tax"
265,Libya says pushing to be removed from Trump travel ban list
266,Pelosi says Democrats will not back short-term funding bill on Thursday
267,"Pentagon wants 12 month procurement time for major weapons programs, official"
268,FBI Director Wray defends bureau in wake of Republican criticism
269,President's son had legitimate reasons to not answer panel questions: House
270,Senate confirms top EPA enforcement official
271,Funding bill clears hurdle in House
272,Exclusive: U.S. regulators offer Congress olive branch on loans
273,White House says focused on getting lowest possible corporate tax rate
274,U.S. lawmakers propose ban on arbitration of sexual misconduct claims
275,"Ryan feels good about spending bill, wants budget cap talks"
276,"Democratic Senator Franken to resign: CNN, citing sources"
277,"U.S. Interior Department wants more oil drilling, expedite ANWR permits"
278,Franken to make 11:45 a.m. announcement after harassment accusations
279,"Democratic Senator Franken faces pressure to resign, announcement looms"
280,Trump administration sides against unions in high court fees case
281,Trump's eldest son questioned in Congress about Russia
282,Democratic lawmakers question Kushner on New York property:
283,'Good to go': Top Trump aide gave inaugural day ok to nuclear plan - congressman
284,"   - America, California's wildfires"
285,U.S. appeals court hears arguments on Trump travel ban
286,Trump warns of government shutdown threat ahead of meeting with lawmakers
287,Trump would sign bill that funds government through December 22:
288,Senate votes to pursue tax bill negotiations with House
289,Bill letting people bring concealed guns across state lines passes U.S. House
290,Senator Franken to resign on Thursday: Minnesota Public Radio
291," Corporate alternative minimum tax threat hits pharma, tech"
292,Trump hopes to avoid government shutdown in meeting with lawmakers:
293,Senate votes to begin tax bill negotiations with House
294,Alabama Democrat turns up attacks on Roy Moore in Senate race's final stretch
295,Corporate AMT likely will not be in final U.S. tax bill:
296,U.S. attorney general calls for efficient review of immigration cases
297,Utah Republicans defend Romney after Bannon's 'Mormon' jab
298,Cuts to homeowner tax breaks could cost Republicans in 2018 races
299,Justice Department seeks warrant to seize ancient ring trafficked by ISIS
300,No. 2 Democrat in Senate calls on Franken to resign
301,Congress tax negotiators may have final bill before Dec. 22
302,"Senator Franken, facing resignation calls, to make announcement on Thursday:"
303,Trump ally Bannon campaigns for Moore in Alabama
304,"'You're wrong', Tillerson says of reports he will be fired"
305,Senate to vote later on Wednesday to work with House on tax bill:
306,"Trump's first year in office marked by controversy, protests"
307,Democrats flex muscles as Congress confronts a government shutdown
308,   - Utah national monuments
309,House tax positions begin to emerge ahead of talks with Senate
310,Republican Party backs Senate candidate Moore:
311,Senate confirms Trump's pick for Homeland Security secretary
312,House passes measure to limit aid to Palestinians over 'martyr payments'
313,Trump lawyer denies Deutsche Bank got subpoena on Trump accounts
314,Senate committee advances bill easing banking regulations
315,Trump lawyers say judge lacks jurisdiction for defamation lawsuit
316,Mueller's Russia probe cost his office $3.2 million in first four months
317,Credit union sues to block Mulvaney from leading CFPB
318,Senior lawmaker Conyers leaves U.S. Congress after harassment accusations
319,House Republican tax chief says lawmakers want AMT repeal
320,White House says government shutdown always a possibility
321,Exclusive: Trump names career diplomat to head Cuban embassy - sources
322,Trump lawyer: Deutsche Bank has not received subpoena for Trump records
323,"Trump says tax conference will go well, 'pretty quickly'"
324,"Trump, Obama dominate Twitter year, but chicken nuggets prevail"
325,Former Trump aide nomination to be Singapore envoy stalled over Russia concerns
326,House Republicans mull length of spending bill as vote looms
327, What to watch in negotiations over details of U.S. tax bill
328,Tillerson seeks to reassure worried Europe over Trump
329,House tax panel chair to urge longer-lasting individual tax rate cuts
330,Republican Party backs embattled Senate candidate Moore:
331,"In Brussels, Tillerson offers EU strong U.S. support"
332,EU warns Trump against recognizing Jerusalem as Israeli capital
333,Supreme Court lets Trump's latest travel ban go into full effect
334,Congress moves closer to final tax bill with House vote
335,"Democrats to join Trump, Republicans in talks to avert government shutdown"
336,Manafort tried to pen positive op-ed on Ukraine work:
337,"Trump son, former partner due before House panel this week:"
338,"In slap at Romney, Trump says he wants Hatch to run for re-election"
339,Trump lawyer's account about tweets raises questions about what president knew
340,Democrat cites drafting error in proposed capital rule amendment
341,"House, Senate Republicans face challenge over corporate AMT tax"
342,Trump to nominate former NASA chief Griffin for defense undersecretary
343,Trump criticizes treatment of Flynn as unfair
344,Trump delays announcement on whether U.S. embassy to be moved to Jerusalem
345,Mulvaney says no plans to fire U.S. consumer bureau's English
346,Ex-U.S. consumer bureau head Cordray set to run for Ohio governor
347,"John Anderson, liberal Republican who challenged Reagan, dies at 95"
348,U.S. defense chief urges Pakistan to redouble efforts against militants
349,Trump backs Alabama Republican Senate candidate Moore
350,Exclusive: U.S. document certifies Honduras as supporting rights amid vote crisis
351,"Trump says encouraging Hatch to run for re-election, possibly blocking a Romney bid"
352,U.S. appeals courts to consider legality of Trump's latest travel ban
353,Top Democrats in Congress accept Trump offer to meet on year-end priorities
354,"White House: Trump spoke to Moore, endorsed his Senate campaign"
355,Massachusetts Senate president steps aside as husband faces probe
356,Trump tweets about Russia probe spark warnings from lawmakers
357,"Flynn pleads guilty to lying on Russia, cooperates with U.S. probe"
358,Factbox - The four men charged in U.S. probe of Trump-Russia ties
359,McConnell optimistic of tax bill deal between Senate and House
360,Factbox - Republicans cut side deals to push through U.S. Senate tax bill
361,U.S. corporate alternative minimum tax should be removed:
362,"   - Roy Moore, Stock Market"
363,U.S. embassy to Russia to resume some visa services after diplomatic row
364,Kremlin says Putin not influenced by ex-Trump official Flynn
365,"Billy Bush: It was Trump's voice on ""Access Hollywood"" tape"
366,Embattled Alabama Republican Senate candidate ahead in CBS poll
367,U.S. allies fret as 'guillotine' hangs over Tillerson
368,McConnell says U.S. government shutdown over DACA 'ridiculous'
369,Trump says never asked Comey to stop investigating Flynn
370,Trump lawyer Dowd says he drafted tweet on Flynn firing:
371,White House open to small changes on corporate tax rate: budget chief Mulvaney
372,"Trump notes Flynn lied to FBI, says his actions during transition were lawful"
373,Mueller removed FBI agent from Russia probe for anti-Trump texts:
374,Tillerson says no truth to reports that he is being replaced
375,ABC News suspends top journalist over inaccurate Flynn reporting
376,U.S. Senate tax bill accomplishes major Obamacare repeal goal
377,Senate approves major tax cuts in victory for Trump
378,U.S. Representative Levin says he will not run for reelection
379,Trump says Flynn's actions during presidential transition were 'lawful'
380,How McConnell kept Republicans in line to win Senate tax bill
381, Key Republicans in U.S. Senate tax bill fight
382, Republican side-deals build support for Senate tax bill
383,Exclusive: Mideast nuclear plan backers bragged of support of top Trump aide Flynn
384,"   - Kate Steinle, Tax cuts, Rex Tillerson"
385,Disputed CFPB acting director plans to seek preliminary injunction:
386,"Flynn, Kushner targeted several states in failed U.N. lobbying:"
387,Representative Conyers' future plans to be discussed in 'next day or so':
388,Senate intel panel's top Democrat: Lawmakers will want talk to Kushner again
389,Ex-U.S. NSA employee pleads guilty to taking classified documents
390,"Kushner, former Trump adviser McFarland spoke with Flynn about Russia contacts:"
391,U.S. states gird for fight as Trump targets consumer finance watchdog
392,U.S. tax debate employing more than half of Washington's lobbyists:
393,Republican Senator Corker says cannot support Senate tax bill
394,"Lower taxes, big gains: The stocks poised to win from tax cuts"
395,Timeline: U.S. prosecutors lay out Flynn's dealings with Russian ambassador
396,Republican Senator Collins to vote for Senate tax bill:
397,Trump says U.S. Secretary of State Tillerson not leaving post
398,House intel panel advances NSA spying bill despite privacy objections
399,Massachusetts senator's husband subject of sex abuse probe
400,Kushner told Flynn to contact Russians last year:
401,House ethics panel launches wide-ranging probe into sexual harassment claims
402,Republican Senator Daines says he will support tax bill -statement
403,Senate Republicans have 50 votes to pass tax bill:
404,Republicans have the votes to pass tax bill in Senate:
405,U.S. consumer financial watchdog official defies Trump from within agency
406,U.S. remains committed to Libyan political agreement:
407,Former Trump adviser Flynn pleads guilty to lying to FBI
408, Five facts about ex-Trump security aide Michael Flynn
409,White House says Flynn's Russia plea implicates Flynn alone
410,"Flynn says cooperating with Russia probe, in best interest of U.S."
411,Flynn prepared to testify Trump directed him to contact Russians:
412,How parents of adopted children foiled a U.S. Republican tax proposal
413,White House staff exits likely as Trump's first year draws to a close:
414,Tillerson dismisses talk of his departure as 'laughable'
415,Trump plans to meet oil industry reps on U.S. biofuel policy:
416,Senate tax bill stalls on deficit-focused 'trigger'
417,Trump weighs recognizing Jerusalem as Israel's capital:
418,U.S. attorney general Sessions evasive on Russia probe:
419,Conyers defiant as Democratic leaders call on him to resign
420,Trump urged Senate Republicans to drop panel's Russia probe:
421,Trump taps Fifth Third lawyer McWilliams to lead FDIC
422,Trump considers plan to replace Tillerson with CIA chief:
423,Senate Ethics Committee opens probe of Senator Franken
424,Pompeo might bring assets to 'hellish' secretary of state role
425,"Republican tax bill stumbles on deficit 'trigger,' new options weighed"
426,U.S. military to indefinitely delay ban on cluster bombs
427, Republicans to watch in U.S. Senate tax bill fight
428,Economic growth to partially offset deficit impact of U.S. tax plan:
429,U.S. Senate panel to vote Tuesday on Powell nomination to lead Fed
430,Mattis on Tillerson departure: 'There's nothing to it'
431,Ex-Twitter worker claims responsibility for Trump's account shutdown
432,Trump to give State of the Union address on Jan. 30:
433,White House says Tillerson to remain as secretary of state
434,Ex-Trump campaign aide Manafort in $11.65 million bail deal:
435,Trump's call for military buildup hits bump in Congress
436,Sexual misconduct allegations may roil 2018 U.S. congressional elections
437,U.S. Treasury would run out of cash by early April if debt ceiling not lifted:
438," Five facts about Mike Pompeo, expected to replace Tillerson"
439,Texas congressman will not seek re-election in wake of nude photo
440,Congressman Conyers has not thought about resigning:
441, Trump turnover - Tillerson would be latest to leave administration
442,"Tillerson unaware of plan to oust him, Senator Corker says"
443," Five facts about Tom Cotton, Trump's likely pick for CIA"
444,White House says Tillerson still in charge at State Department
445,Senate tax bill stalls on deficit-focused 'trigger'
446,U.S. House Democratic leader Pelosi says Conyers should resign
447,Trump angers UK with truculent tweet to May after sharing far-right videos
448,"U.N. rights boss condemns ""spreading hatred through tweets"""
449,Arctic drilling hits speed bumps in U.S. tax bill
450,"Senator Collins says not committed to tax bill, concerned about SALT"
451,UK PM May says Donald Trump was wrong to retweet far-right videos
452,Britain's U.S. ambassador discussed Trump retweets with senior White House staff:
453,   - NYTimes
454,Trump criticized in Britain and U.S. for sharing anti-Muslim videos
455,"UK PM May is focused on tackling extremism, spokesman says in response to Trump"
456,British minister hopes condemnation of Trump tweet has impact
457,U.S. intel committee subpoenas comedian in Russia election meddling probe
458,Kushner met with special counsel Mueller in Russia probe:
459,"   - Matt Lauer, North Korea, Tax Cuts"
460,Trump nominates Marvin Goodfriend for Fed governor post
461,Trump fires back at Britain's May: 'Don't focus on me'
462,"Senate takes step toward passage of tax bill, vote likely this week"
463,Republicans in House seek protection for municipal bonds in tax bill
464,Tax trigger idea for Senate tax bill swiftly draws critics
465,Congressman Conyers faces mounting pressure to resign
466, Republicans to watch in Senate tax bill fight
467,House bill aims to identify lawmakers in sex harassment cases
468,Democratic Representative Gutierrez hints at 2020 U.S. presidential run
469,Senate Democrat presses Trump campaign advisers for Russia contacts
470,Ex-convict coal magnate says to run for Senate
471,Congressman Conyers not planning to resign: lawyer tells Detroit News
472,Nearly half of Americans oppose Republican tax bill:
473,U.S. lawmaker says House intel panel near consensus on NSA spy program
474,U.S. arms sales jump 25 percent in FY 2017
475,Black caucus members urge U.S. Representative Conyers to resign:
476,Trump to host Libyan Prime Minister Sarraj at White House on Friday
477,Trump's son Donald Trump Jr. to meet with House panel Dec. 6:
478,White House does not expect U.S. government shutdown
479,Conyers should resign if accusations are 'founded': No. 2 House Democrat
480,Senate to vote Wednesday on opening debate on tax bill
481,Senate to vote on motion to proceed on tax bill:
482,Trump was wrong to retweet UK far-right group: British PM May's spokesman
483,U.S. House Speaker Ryan says up to Conyers whether to resign
484,No. 2 Republican in U.S. House sees conference on tax bill soon
485," Who are Britain First, whose leader's posts Trump re-tweeted?"
486,Trump calls for boycott of television network CNN:
487,U.S. court backs Trump in battle over interim consumer watchdog head
488,"Democrats skip Trump meeting, raising risk of government shutdown"
489,Senate Republicans shove tax bill ahead as Democrats fume
490,Congress government funding fight seen spilling into 2018
491, Republican senators to watch in tax bill fight
492,"Trump to visit Utah next week, expected to announce monument decision"
493,Watchdog to depart DHS after tensions over U.S. travel ban report
494,Republican Senator Collins says talks on tax bill 'productive'
495,"   - NFL, First Lady"
496,Consumer agency official English says will be in office Tuesday
497,U.S. Sen. Warren predicts appeal in legal battle over consumer agency
498,Top two Republicans in Congress challenge Democrats to attend Trump meeting
499," From taxes to budget, U.S. Congress's calendar tightens"
500,Senate panel votes to advance tax bill
501,Tillerson 'offended' by claims of State Department's hollowing out
502,Trump to make remarks at White House at 3 p.m. EST
503,U.S. budget chief Mulvaney says CFPB staff should 'disregard' deputy director:
504,Russian envoy to U.S. to inspect San Francisco consulate:
505,White House to Democratic leaders: 'stop the political grandstanding'
506,Top Democrats in Congress say won't meet with Trump as planned
507,U.S. Senate liberals propose new steps for Puerto Rico recovery
508,Trump: 'I don't see a deal' with Democrats on keeping government open
509,"Trump-installed consumer agency head sets hiring freeze, halts new rules"
510,Congressman Gutierrez will not seek re-election:
511,Alabama Senate candidate Moore calls allegations 'dirty politics'
512,Official in charge of State Department reorganization steps down
513,Trump's tax bill faces potential Senate Republican opposition
514,Trump refers to a 'Pocahontas' in Congress at meeting with veterans
515,Senate Republican signals possible committee 'no' vote on tax bill
516,Republican Sen. Johnson may vote against tax bill in committee
517,California lawmaker resigns after media report of sexual harassment
518,"Senator Franken, on groping allegations, vows 'this will not happen again'"
519,Allegations against Sen. Franken should go through normal process:
520,White House denies Trump made slur with 'Pocahontas' remark
521,Mulvaney has legal standing take charge of U.S. Consumer Financial Protection Bureau:
522," From taxes to budget, what's on U.S. Congress to-do list"
523, Republican U.S. senators to watch in the debate on the tax bill
524,"Senate to vote on tax plan this week, No. 2 Republican says"
525,U.S. court to hold hearing Monday on who will lead CFPB:
526,'Ashamed' Franken says he won't quit Senate over groping accusations
527,Senate's Schumer to meet with official named by Cordray to lead CFPB
528,Republican Senator Paul says he plans to vote for Senate tax bill
529,Rival sides square off over succession at U.S. consumer finance agency
530,Senator Elizabeth Warren to meet Leandra English on Monday:
531,   - Networks
532, What is the U.S. Consumer Financial Protection Bureau?
533,U.S. consumer watchdog agency official sues to block Trump's pick
534,Exclusive: U.S. consumer finance agency lawyer sides with Trump over succession - sources
535,Rep. Conyers steps down from committee while lawmakers probe harassment allegations
